Time: 20 Pose: [-0.12109731137752533, 0.03942016139626503, 0.17410682141780853]
Time: 24 Pose: [0.03617531806230545, 0.11162129789590836, 0.18396137654781342]
Time: 15 Pose: [-0.08638834953308105, 0.00820763036608696, 0.18330161273479462]
Time: 17 Pose: [-0.17506222426891327, -0.035799071192741394, 0.17431102693080902]
Time: 12 Pose: [0.03736637532711029, -0.0564240962266922, 0.20268428325653076]
Time: 24 Pose: [-0.007669304963201284, -0.07420773804187775, 0.20469477772712708]
Time: 25 Pose: [-0.20196031033992767, 0.048065170645713806, 0.1880897730588913]
Time: 25 Pose: [0.216008722782135, 0.0313725546002388, 0.18754732608795166]
Time: 31 Pose: [-0.450980007648468, 0.21663327515125275, 0.17769934237003326]
Time: 16 Pose: [0.019905345514416695, 0.015669386833906174, 0.18595755100250244]
Time: 11 Pose: [-0.059446558356285095, -0.0279359333217144, 0.1854412853717804]
Time: 17 Pose: [-0.08996386080980301, 0.011847949586808681, 0.1846189647912979]
Time: 17 Pose: [-0.15809868276119232, -0.03718571737408638, 0.1847762018442154]
Time: 21 Pose: [-0.03592495992779732, 0.03755280002951622, 0.1609591245651245]
Time: 15 Pose: [-0.09945390373468399, -0.004381931386888027, 0.18208321928977966]
Time: 18 Pose: [-0.1098046824336052, -0.007458610460162163, 0.1619252860546112]
Time: 22 Pose: [-0.17725738883018494, 0.1488947570323944, 0.17909716069698334]
Time: 20 Pose: [-0.18826694786548615, -0.017527205869555473, 0.17928290367126465]
Time: 17 Pose: [-0.12709824740886688, -0.03730044886469841, 0.1650206297636032]
Time: 45 Pose: [-0.07632587850093842, 0.06178227439522743, 0.19498294591903687]
Time: 14 Pose: [-0.04387125372886658, -0.020943181589245796, 0.16014103591442108]
