LHipRoll;LHipPitch;LKneePitch;LAnklePitch;LAnkleRoll;RHipRoll;RHipPitch;RKneePitch;RAnklePitch;RAnkleRoll
-0.2726011;-0.8749951;01.0989821;-0.2239870;00.2726011;00.1872901;-0.4337110;00.9021898;-0.4684788;-0.1872901
-0.2596288;-0.8866151;00.9955203;-0.1089051;00.2596288;00.1777787;-0.4259354;00.9113397;-0.4854043;-0.1777787
-0.2422912;-0.8721020;00.8836581;-0.0115560;00.2422912;00.1648917;-0.4124790;00.9149183;-0.5024393;-0.1648917
-0.2211638;-0.8376572;00.7793555;00.0583017;00.2211638;00.1488578;-0.3922824;00.9116745;-0.5193920;-0.1488578
-0.1970215;-0.7905749;00.6910144;00.0995605;00.1970215;00.1299570;-0.3646917;00.9008268;-0.5361352;-0.1299570
-0.1707272;-0.7350885;00.6165601;00.1185284;00.1707272;00.1085484;-0.3298968;00.8819912;-0.5520943;-0.1085484
-0.1431373;-0.6717751;00.5471936;00.1245815;00.1431373;00.0850888;-0.2884074;00.8546560;-0.5662486;-0.0850888
-0.1150725;-0.5984022;00.4689885;00.1294137;00.1150725;00.0601350;-0.2405049;00.8178692;-0.5773642;-0.0601350
-0.0891833;-0.5996902;00.5304040;00.0692862;00.0891833;00.0343368;-0.1861370;00.7702342;-0.5840972;-0.0343368
-0.0632530;-0.6052913;00.5959788;00.0093125;00.0632530;00.0083514;-0.1389679;00.7336035;-0.5946356;-0.0083514
-0.0373529;-0.6063644;00.6518328;-0.0454684;00.0373529;-0.0175904;-0.0913346;00.6939228;-0.6025882;00.0175904
-0.0115739;-0.6016732;00.6974509;-0.0957777;00.0115739;-0.0433529;-0.0396277;00.6451919;-0.6055642;00.0433529
00.0140464;-0.5915027;00.7340656;-0.1425629;-0.0140464;-0.0688899;00.0182800;00.5835992;-0.6018792;00.0688899
00.0394467;-0.5763618;00.7628372;-0.1864754;-0.0394467;-0.0941422;00.0848280;00.5043685;-0.5891965;00.0941422
00.0644235;-0.5567592;00.7848010;-0.2280417;-0.0644235;-0.1215139;00.0929705;00.5545819;-0.6475524;00.1215139
00.0887377;-0.5392182;00.8067078;-0.2674895;-0.0887377;-0.1493505;00.0905382;00.6144059;-0.7049441;00.1493505
00.1117198;-0.5201959;00.8232483;-0.3030523;-0.1117198;-0.1767091;00.0729676;00.6836858;-0.7566533;00.1767091
00.1327720;-0.4997602;00.8335880;-0.3338277;-0.1327720;-0.2026378;00.0310544;00.7696797;-0.8007341;00.2026378
